iso3,country,location_scope,year,sample_size,disease_s,min_age,max_age,seroprev_prop
MDG,Madagascar,National (nested survey via surveillance),2014,1005,Measles,0,100,0.9
ZMB,Zambia,Nationally representative (residual sera),2016,9854,Measles,0,50,0.828
ISR,Israel,National (serum bank samples),2015,3164,Measles,0,10,0.907
NLD,Netherlands,National (population serosurvey),2007,6383,Diphtheria,0,100,0.82
CHN,China,Single city - Guangzhou (urban population),2018,715,Diphtheria,3,89,0.618
GRC,Greece,"National (adults, stratified sample)",2021,1169,Pertussis,30,100,0.02
IND,India,"Sub-national (4 districts, community survey)",2019,"9,636 households",Measles,0.75,1.16666666666667,0.742
LAO,Laos (Saravan),Provincial (rural multi-district survey),2017,2463,Measles,5,90,0.734
LAO,Laos (Saravan),Provincial (rural multi-district survey),2017,2463,Diphtheria,5,90,0.405
MEX,Mexico,National (health survey biobank sera),2010,3344,Pertussis,1,95,0.474
SGP,Singapore,National (residual pediatric sera),2018,1200,Measles,1,17,0.982
SGP,Singapore,National (residual pediatric sera),2018,1200,Diphtheria,1,17,0.971
VNM,Vietnam (Quang Ngai),Provincial (rural community survey),2019,1216,Diphtheria,1,55,0.51
ZMB,Zambia,Nationally representative (residual sera),2016,9854,Measles,0,50,0.828
GBR,United Kingdom (England & Wales),National (residual sera surveillance),1990,4331,Measles,0,100,0.909
USA,United States,National (NHANES III survey),1991,20100,Measles,6,100,0.93
USA,United States,National (NHANES survey),2002,7873,Measles,6,49,0.959
MEX,Mexico,National (health & nutrition survey),2012,7785,Measles,1,100,0.9937
ZMB,Zambia (S. Province),Regional – Southern Province (pre/post campaign),2016,1196,Measles,0,15,0.778
CHN,China (Jiangsu),Provincial (Jiangsu general population),2010,4605,Measles,2,100,0.917
CZE,Czech Republic,National (population serosurvey),2001,1065,Diphtheria,0,100,0.81
LUX,Luxembourg,National (population serosurvey),2001,2863,Diphtheria,0,100,0.8
LUX,Luxembourg,National (population serosurvey),2001,2863,Diphtheria,0,100,0.6
CZE,Czech Republic,National (population serosurvey),2002,~3300,Diphtheria,0,100,0.939
HUN,Hungary,National (population serosurvey),2002,~3300,Diphtheria,0,100,0.79
IRL,Ireland,National (population serosurvey),2002,~3300,Diphtheria,0,100,0.633
LVA,Latvia,National (population serosurvey),2002,~3300,Diphtheria,0,100,0.73
SVK,Slovakia,National (population serosurvey),2002,~3300,Diphtheria,0,100,0.747
ISR,Israel,National (population serosurvey),2002,~3300,Diphtheria,0,100,0.785
